stichtag,direktion_code,direktion_name,amt_bereich_code,amt_bereich_name,indikator,wert,einheit,anmerkung_1,anmerkung_2
2020-12-31,1,"Regierungsrat und Staatskanzlei",1000,"Regierungsrat und Staatskanzlei","Frauen",27,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,1,"Regierungsrat und Staatskanzlei",1000,"Regierungsrat und Staatskanzlei","Maenner",43,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2201,"Generalsekretariat","Frauen",41,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2201,"Generalsekretariat","Maenner",44,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2204,"Staatsanwaltschaft","Frauen",289,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2204,"Staatsanwaltschaft","Maenner",161,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2205,"Jugendstrafrechtspflege","Frauen",64,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2205,"Jugendstrafrechtspflege","Maenner",32,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2206,"Justizvollzug und Wiedereingliederung","Frauen",390,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2206,"Justizvollzug und Wiedereingliederung","Maenner",640,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2207,"Gemeindeamt","Frauen",42,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2207,"Gemeindeamt","Maenner",24,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2221,"Handelsregisteramt","Frauen",47,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2221,"Handelsregisteramt","Maenner",20,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2223,"Statistisches Amt","Frauen",9,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2223,"Statistisches Amt","Maenner",26,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2224,"Staatsarchiv","Frauen",44,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2224,"Staatsarchiv","Maenner",35,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2232,"Kantonale Opferhilfestelle","Frauen",9,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2232,"Kantonale Opferhilfestelle","Maenner",0,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2233,"Fachstelle Gleichstellung","Frauen",3,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2233,"Fachstelle Gleichstellung","Maenner",2,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2234,"Fachstelle Kultur","Frauen",15,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2234,"Fachstelle Kultur","Maenner",5,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
2020-12-31,2,"Direktion der Justiz und des Innern",2241,"Fachstelle Integration","Frauen",12,"Anstellungsverhaeltnisse [Anzahl]","Anzahl Anstellungen ohne Uebriges Personal (Mitglieder von Behoerden, Lernende, Praktikanten)",
